incident_id;event;timestamp;active;reassignment_count;reopen_count;sys_mod_count;made_sla;caller_id;opened_by;opened_at;sys_created_by;sys_created_at;sys_updated_by;contact_type;location;category;subcategory;u_symptom;cmdb_ci;impact;urgency;priority;assignment_group;assigned_to;knowledge;u_priority_confirmation;notify;problem_id;rfc;vendor;caused_by;closed_code;resolved_by;resolved_at;closed_at
INC0000045;N;29/2/2016 01:23;true;0;0;0;true;Caller 2403;Opened by  8;29/2/2016 01:16;Created by 6;29/2/2016 01:23;Updated by 21;Phone;Location 143;Category 55;Subcategory 170;Symptom 72;?;2 - Medium;2 - Medium;3 - Moderate;Group 56;?;true;false;Do Not Notify;?;?;?;?;code 5;Resolved by 149;29/2/2016 11:29;5/3/2016 12:00
INC0000045;R;29/2/2016 08:53;true;0;0;2;true;Caller 2403;Opened by  8;29/2/2016 01:16;Created by 6;29/2/2016 01:23;Updated by 642;Phone;Location 143;Category 55;Subcategory 170;Symptom 72;?;2 - Medium;2 - Medium;3 - Moderate;Group 56;?;true;false;Do Not Notify;?;?;?;?;code 5;Resolved by 149;29/2/2016 11:29;5/3/2016 12:00
INC0000045;R;29/2/2016 11:29;true;0;0;3;true;Caller 2403;Opened by  8;29/2/2016 01:16;Created by 6;29/2/2016 01:23;Updated by 804;Phone;Location 143;Category 55;Subcategory 170;Symptom 72;?;2 - Medium;2 - Medium;3 - Moderate;Group 56;?;true;false;Do Not Notify;?;?;?;?;code 5;Resolved by 149;29/2/2016 11:29;5/3/2016 12:00
INC0000045;C;5/3/2016 12:00;false;0;0;4;true;Caller 2403;Opened by  8;29/2/2016 01:16;Created by 6;29/2/2016 01:23;Updated by 908;Phone;Location 143;Category 55;Subcategory 170;Symptom 72;?;2 - Medium;2 - Medium;3 - Moderate;Group 56;?;true;false;Do Not Notify;?;?;?;?;code 5;Resolved by 149;29/2/2016 11:29;5/3/2016 12:00
INC0000047;N;29/2/2016 04:57;true;0;0;0;true;Caller 2403;Opened by  397;29/2/2016 04:40;Created by 171;29/2/2016 04:57;Updated by 746;Phone;Location 165;Category 40;Subcategory 215;Symptom 471;?;2 - Medium;2 - Medium;3 - Moderate;Group 70;Resolver 89;true;false;Do Not Notify;?;?;?;?;code 5;Resolved by 81;1/3/2016 09:52;6/3/2016 10:00
INC0000047;A;29/2/2016 05:30;true;1;0;1;true;Caller 2403;Opened by  397;29/2/2016 04:40;Created by 171;29/2/2016 04:57;Updated by 21;Phone;Location 165;Category 40;Subcategory 215;Symptom 471;?;2 - Medium;2 - Medium;3 - Moderate;Group 24;Resolver 31;true;false;Do Not Notify;?;?;?;?;code 5;Resolved by 81;1/3/2016 09:52;6/3/2016 10:00
INC0000047;A;29/2/2016 05:33;true;1;0;2;true;Caller 2403;Opened by  397;29/2/2016 04:40;Created by 171;29/2/2016 04:57;Updated by 21;Phone;Location 165;Category 40;Subcategory 215;Symptom 471;?;2 - Medium;2 - Medium;3 - Moderate;Group 24;Resolver 31;true;false;Do Not Notify;?;?;?;?;code 5;Resolved by 81;1/3/2016 09:52;6/3/2016 10:00
INC0000047;A;29/2/2016 11:31;true;1;0;3;true;Caller 2403;Opened by  397;29/2/2016 04:40;Created by 171;29/2/2016 04:57;Updated by 804;Phone;Location 165;Category 40;Subcategory 215;Symptom 471;?;2 - Medium;2 - Medium;3 - Moderate;Group 24;Resolver 31;true;false;Do Not Notify;?;?;?;?;code 5;Resolved by 81;1/3/2016 09:52;6/3/2016 10:00
INC0000047;A;29/2/2016 11:32;true;1;0;4;true;Caller 2403;Opened by  397;29/2/2016 04:40;Created by 171;29/2/2016 04:57;Updated by 703;Phone;Location 165;Category 40;Subcategory 215;Symptom 471;?;2 - Medium;2 - Medium;3 - Moderate;Group 24;Resolver 31;true;false;Do Not Notify;?;?;?;?;code 5;Resolved by 81;1/3/2016 09:52;6/3/2016 10:00
INC0000047;A;1/3/2016 09:14;true;1;0;5;true;Caller 2403;Opened by  397;29/2/2016 04:40;Created by 171;29/2/2016 04:57;Updated by 332;Phone;Location 165;Category 40;Subcategory 215;Symptom 471;?;2 - Medium;2 - Medium;3 - Moderate;Group 24;Resolver 31;true;false;Do Not Notify;?;?;?;?;code 5;Resolved by 81;1/3/2016 09:52;6/3/2016 10:00
INC0000047;W;1/3/2016 09:14;true;1;0;6;true;Caller 2403;Opened by  397;29/2/2016 04:40;Created by 171;29/2/2016 04:57;Updated by 332;Phone;Location 165;Category 40;Subcategory 215;Symptom 471;?;2 - Medium;2 - Medium;3 - Moderate;Group 24;Resolver 89;true;false;Do Not Notify;?;?;?;?;code 5;Resolved by 81;1/3/2016 09:52;6/3/2016 10:00
INC0000047;R;1/3/2016 09:52;true;1;0;7;true;Caller 2403;Opened by  397;29/2/2016 04:40;Created by 171;29/2/2016 04:57;Updated by 332;Phone;Location 165;Category 40;Subcategory 215;Symptom 471;?;2 - Medium;2 - Medium;3 - Moderate;Group 24;Resolver 89;true;false;Do Not Notify;?;?;?;?;code 5;Resolved by 81;1/3/2016 09:52;6/3/2016 10:00
INC0000047;C;6/3/2016 10:00;false;1;0;8;true;Caller 2403;Opened by  397;29/2/2016 04:40;Created by 171;29/2/2016 04:57;Updated by 908;Phone;Location 165;Category 40;Subcategory 215;Symptom 471;?;2 - Medium;2 - Medium;3 - Moderate;Group 24;Resolver 89;true;false;Do Not Notify;?;?;?;?;code 5;Resolved by 81;1/3/2016 09:52;6/3/2016 10:00
INC0000057;N;29/2/2016 06:26;true;0;0;0;true;Caller 4416;Opened by  8;29/2/2016 06:10;?;?;Updated by 21;Phone;Location 204;Category 20;Subcategory 125;Symptom 471;?;2 - Medium;2 - Medium;3 - Moderate;Group 70;?;true;false;Do Not Notify;?;?;?;?;code 10;Resolved by 5;1/3/2016 02:55;6/3/2016 03:00
