incident_id,alignment,numEvent
INC0000045,[S]N;[M]A;[M]W;[L]R;[S]R;[S]C;,4
INC0000047,[S]N;[S]A;[L]A;[L]A;[L]A;[S]A;[S]W;[S]R;[S]C;,9
INC0000057,[S]N;[L]N;[M]A;[L]N;[M]W;[L]N;[L]N;[S]R;[S]C;,7
INC0000060,[S]N;[M]A;[S]A;[S]R;[S]C;,4
INC0000062,[S]N;[L]N;[L]N;[M]A;[L]N;[M]W;[L]N;[L]N;[S]R;[S]C;,8
INC0000063,[S]N;[L]N;[L]N;[M]A;[L]N;[M]W;[L]N;[L]N;[S]R;[S]C;,8
INC0000064,[S]N;[L]N;[L]A;[S]A;[L]A;[L]A;[S]A;[S]R;[S]C;,9
INC0000065,[L]N;[S]N;[L]N;[L]N;[M]A;[L]N;[L]N;[L]N;[L]N;[L]N;[L]N;[S]W;[S]R;[S]C;,13
INC0000066,[L]N;[S]N;[M]A;[M]W;[S]R;[S]C;,4
INC0000067,[S]N;[L]N;[L]N;[L]A;[L]A;[L]A;[S]A;[S]A;[L]A;[S]R;[S]C;,11
INC0000070,[S]N;[S]A;[S]A;[L]W;[L]W;[S]W;[S]R;[S]C;,8
INC0000071,[L]N;[S]N;[L]N;[L]N;[M]A;[S]W;[L]W;[S]R;[S]C;,8
INC0000073,[M]N;[L]A;[L]A;[S]A;[S]A;[S]R;[S]C;,6
INC0000074,[M]N;[S]A;[S]W;[L]W;[L]W;[S]R;[S]C;,6
INC0000076,[S]N;[M]A;[M]W;[S]R;[S]C;,3
INC0000077,[L]N;[L]N;[S]N;[L]N;[M]A;[M]W;[S]R;[S]C;,6
INC0000079,[S]N;[L]N;[M]A;[S]A;[S]R;[S]C;,5
INC0000080,[S]N;[L]N;[M]A;[L]N;[L]N;[L]N;[S]A;[S]R;[S]C;,8
INC0000083,[L]N;[S]N;[L]N;[M]A;[M]W;[S]R;[S]C;,5
INC0000084,[M]N;[S]A;[S]W;[L]W;[L]W;[S]R;[S]C;,6
INC0000085,[L]N;[S]N;[M]A;[M]W;[S]R;[S]C;,4
INC0000086,[S]N;[L]N;[L]N;[L]N;[L]N;[L]N;[L]N;[M]A;[M]W;[S]R;[S]C;,9
