incident_id,impact,urgency,priority,category,openTs,closeTs,reassignment,reopen,updates
INC0000045,2 - Medium,2 - Medium,3 - Moderate,Category 55,29/2/2016 01:16,5/3/2016 12:00,0,0,4
INC0000047,2 - Medium,2 - Medium,3 - Moderate,Category 40,29/2/2016 04:40,6/3/2016 10:00,1,0,8
INC0000057,2 - Medium,2 - Medium,3 - Moderate,Category 20,29/2/2016 06:10,6/3/2016 03:00,0,0,6
INC0000060,2 - Medium,2 - Medium,3 - Moderate,Category 9,29/2/2016 06:38,7/3/2016 13:00,0,0,3
INC0000062,1 - High,2 - Medium,2 - High,Category 53,29/2/2016 06:58,5/3/2016 16:00,1,0,7
INC0000063,2 - Medium,2 - Medium,3 - Moderate,Category 20,29/2/2016 07:08,5/3/2016 17:00,1,0,7
INC0000064,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 07:10,8/3/2016 17:00,1,0,8
INC0000065,2 - Medium,2 - Medium,3 - Moderate,Category 45,29/2/2016 07:38,7/3/2016 16:00,6,0,13
INC0000066,2 - Medium,2 - Medium,3 - Moderate,Category 55,29/2/2016 08:03,7/3/2016 15:00,1,0,3
INC0000067,2 - Medium,2 - Medium,3 - Moderate,Category 9,29/2/2016 08:03,7/3/2016 12:00,1,0,10
INC0000070,2 - Medium,2 - Medium,3 - Moderate,Category 9,29/2/2016 08:11,24/3/2016 18:40,1,0,9
INC0000071,2 - Medium,2 - Medium,3 - Moderate,Category 9,29/2/2016 08:12,6/3/2016 11:00,0,0,7
INC0000073,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 08:22,6/3/2016 16:00,1,0,6
INC0000074,2 - Medium,2 - Medium,3 - Moderate,Category 45,29/2/2016 08:23,16/4/2016 15:07,0,0,19
INC0000076,2 - Medium,2 - Medium,3 - Moderate,Category 42,29/2/2016 08:25,5/3/2016 17:00,0,0,2
INC0000077,2 - Medium,2 - Medium,3 - Moderate,Category 32,29/2/2016 08:27,5/3/2016 10:00,0,0,5
INC0000079,2 - Medium,2 - Medium,3 - Moderate,Category 55,29/2/2016 08:32,5/3/2016 12:00,1,0,4
INC0000080,2 - Medium,2 - Medium,3 - Moderate,Category 32,29/2/2016 08:33,7/3/2016 12:00,0,0,7
INC0000083,3 - Low,3 - Low,4 - Low,Category 24,29/2/2016 08:39,5/3/2016 17:00,1,0,4
INC0000084,3 - Low,3 - Low,4 - Low,Category 45,29/2/2016 08:39,17/4/2016 15:07,0,0,19
INC0000085,2 - Medium,2 - Medium,3 - Moderate,Category 20,29/2/2016 08:41,7/3/2016 15:00,0,0,6
INC0000086,2 - Medium,2 - Medium,3 - Moderate,Category 24,29/2/2016 08:43,6/3/2016 16:00,1,0,8
INC0000087,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 08:47,7/3/2016 15:00,0,0,3
INC0000088,2 - Medium,2 - Medium,3 - Moderate,Category 42,29/2/2016 08:48,5/3/2016 10:00,0,0,2
INC0000089,2 - Medium,3 - Low,4 - Low,Category 45,29/2/2016 08:51,8/3/2016 15:00,3,0,9
INC0000092,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 08:55,12/3/2016 09:00,1,0,6
INC0000093,2 - Medium,2 - Medium,3 - Moderate,Category 61,29/2/2016 08:56,5/3/2016 10:00,0,0,1
INC0000094,3 - Low,3 - Low,4 - Low,Category 45,29/2/2016 08:58,24/3/2016 18:50,0,0,10
INC0000098,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 09:02,7/3/2016 15:00,1,0,5
INC0000099,2 - Medium,2 - Medium,3 - Moderate,Category 24,29/2/2016 09:03,6/3/2016 10:00,1,0,3
INC0000100,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 09:05,7/3/2016 15:00,0,0,3
INC0000101,2 - Medium,3 - Low,4 - Low,Category 55,29/2/2016 09:05,5/3/2016 12:00,0,0,6
INC0000102,2 - Medium,2 - Medium,3 - Moderate,Category 37,29/2/2016 09:06,24/3/2016 18:59,4,1,19
INC0000103,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 09:07,7/3/2016 15:00,0,0,3
INC0000104,1 - High,2 - Medium,2 - High,Category 53,29/2/2016 09:08,6/3/2016 12:00,1,0,6
INC0000105,2 - Medium,2 - Medium,3 - Moderate,Category 45,29/2/2016 09:10,5/3/2016 12:00,1,0,7
INC0000110,2 - Medium,2 - Medium,3 - Moderate,Category 53,29/2/2016 09:13,7/3/2016 15:00,0,0,3
